Date;Workout Name;Exercise Name;Set Order;Weight;Weight Unit;Reps;RPE;Distance;Distance Unit;Seconds;Notes;Workout Notes;Workout Duration
2022-11-07 07:35:20;"Day 2 #1 week 2";"Trap Bar Deadlift";1;100;kg;6;;;;0;"";"slow ecc";1h 26m
2022-11-07 07:35:20;"Day 2 #1 week 2";"Trap Bar Deadlift";2;105;kg;4;;;;0;;;1h 26m
2022-11-07 07:35:20;"Day 2 #1 week 2";"Trap Bar Deadlift";3;105;kg;4;;;;0;;;1h 26m
2022-11-07 07:35:20;"Day 2 #1 week 2";"Trap Bar Deadlift";4;110;kg;2;;;;0;;;1h 26m
2022-11-07 07:35:20;"Day 2 #1 week 2";"Trap Bar Deadlift";5;110;kg;2;;;;0;;;1h 26m
2022-11-07 07:35:20;"Day 2 #1 week 2";"Overhead Press (Barbell)";1;35;kg;6;;;;0;"";;1h 26m
2022-11-07 07:35:20;"Day 2 #1 week 2";"Overhead Press (Barbell)";2;35;kg;4;;;;0;;;1h 26m
2022-11-07 07:35:20;"Day 2 #1 week 2";"Overhead Press (Barbell)";3;37.5;kg;4;;;;0;;;1h 26m
2022-11-07 07:35:20;"Day 2 #1 week 2";"Overhead Press (Barbell)";4;37.5;kg;2;;;;0;;;1h 26m
2022-11-07 07:35:20;"Day 2 #1 week 2";"Overhead Press (Barbell)";5;37.5;kg;2;;;;0;;;1h 26m
2022-11-07 07:35:20;"Day 2 #1 week 2";"pull up negative neutral grip";1;;;4;;;;0;"";;1h 26m
2022-11-07 07:35:20;"Day 2 #1 week 2";"pull up negative neutral grip";2;;;4;;;;0;;;1h 26m
2022-11-07 07:35:20;"Day 2 #1 week 2";"pull up negative neutral grip";3;;;4;;;;0;;;1h 26m
2022-11-07 07:35:20;"Day 2 #1 week 2";"DB shoulder press";1;16;kg;10;;;;0;"";;1h 26m
2022-11-07 07:35:20;"Day 2 #1 week 2";"DB shoulder press";2;18;kg;10;;;;0;;;1h 26m
2022-11-07 07:35:20;"Day 2 #1 week 2";"DB shoulder press";3;18;kg;10;;;;0;;;1h 26m
2022-11-07 07:35:20;"Day 2 #1 week 2";"DB RDL";1;48;kg;5;;;;0;"";;1h 26m
2022-11-07 07:35:20;"Day 2 #1 week 2";"DB RDL";2;48;kg;5;;;;0;;;1h 26m
2022-11-07 07:35:20;"Day 2 #1 week 2";"DB RDL";3;48;kg;5;;;;0;;;1h 26m
2022-11-07 07:35:20;"Day 2 #1 week 2";"Lateral squad";1;16;kg;2;;;;0;"";;1h 26m
2022-11-07 07:35:20;"Day 2 #1 week 2";"Lateral squad";2;16;kg;2;;;;0;;;1h 26m
2022-11-07 07:35:20;"Day 2 #1 week 2";"Lateral squad";3;16;kg;5;;;;0;;;1h 26m
2022-11-07 07:35:20;"Day 2 #1 week 2";"Triceps Extension (Dumbbell)";1;12;kg;6;;;;0;"";;1h 26m
2022-11-07 07:35:20;"Day 2 #1 week 2";"Triceps Extension (Dumbbell)";2;14;kg;6;;;;0;;;1h 26m
2022-11-07 07:35:20;"Day 2 #1 week 2";"Triceps Extension (Dumbbell)";3;16;kg;6;;;;0;;;1h 26m
2022-11-07 07:35:20;"Day 2 #1 week 2";"Pallof press";1;32;kg;8;;;;0;"";;1h 26m
2022-11-07 07:35:20;"Day 2 #1 week 2";"Pallof press";2;32;kg;8;;;;0;;;1h 26m
2022-11-07 07:35:20;"Day 2 #1 week 2";"Pallof press";3;32;kg;8;;;;0;;;1h 26m
2022-11-09 07:39:32;"Day 3 #1 week 2";"Front Squat (Barbell)";1;55;kg;4;;;;0;"";"";1h 22m
2022-11-09 07:39:32;"Day 3 #1 week 2";"Front Squat (Barbell)";2;60;kg;4;;;;0;;;1h 22m
2022-11-09 07:39:32;"Day 3 #1 week 2";"Front Squat (Barbell)";3;60;kg;4;;;;0;;;1h 22m
2022-11-09 07:39:32;"Day 3 #1 week 2";"Front Squat (Barbell)";4;62.5;kg;4;;;;0;;;1h 22m
2022-11-09 07:39:32;"Day 3 #1 week 2";"Incline Bench Press (Barbell)";1;52.5;kg;4;;;;0;"";;1h 22m
2022-11-09 07:39:32;"Day 3 #1 week 2";"Incline Bench Press (Barbell)";2;52.5;kg;4;;;;0;;;1h 22m
2022-11-09 07:39:32;"Day 3 #1 week 2";"Incline Bench Press (Barbell)";3;55;kg;4;;;;0;;;1h 22m
2022-11-09 07:39:32;"Day 3 #1 week 2";"Cable Row";1;52;kg;5;;;;0;"";;1h 22m
2022-11-09 07:39:32;"Day 3 #1 week 2";"Cable Row";2;54;kg;5;;;;0;;;1h 22m
2022-11-09 07:39:32;"Day 3 #1 week 2";"Cable Row";3;54;kg;5;;;;0;;;1h 22m
2022-11-09 07:39:32;"Day 3 #1 week 2";"Leg Extension (Machine)";1;66;kg;5;;;;0;"";;1h 22m
